#Prestal File V0.0.1	2025-3-6_14-27-53_17272
#Generate by ../../../JHS_ana_v05/JHS_ana/testdata/20250226091806_baseline_entry.root
#fecid channelid mean sigma chi2/ndf
4 73 621.305 6.83467 48.1664
4 74 616.362 9.71909 46.0683
4 75 662.989 6.48478 12.2485
4 76 607.309 13.7877 83.685
4 77 605.556 12.2149 77.3981
4 78 598.585 7.25316 3.09455
4 79 597.213 12.9332 96.9157
4 80 634.745 6.29603 135.172
4 81 610.094 7.81896 5.00646
4 82 646.15 6.07807 2.9147
4 83 622.937 9.40704 11.6254
4 84 614.248 6.11888 2.42214
4 85 636.914 6.11773 4.93357
4 86 612.442 8.71138 9.52011
4 87 610.013 6.09931 1.4983
4 88 662.546 6.33153 20.1078
4 89 638.33 6.20387 2.64718
4 90 638.222 8.27102 10.6741
4 91 611.704 8.65719 17.2165
4 92 607.049 8.66719 15.0777
4 93 628.856 7.75427 8.91792
4 94 618.487 5.92858 3.39433
4 95 602.668 8.81985 14.4817
4 96 606.982 6.68293 59.7413
4 97 611.218 7.43825 69.2208
4 98 564.129 6.57142 2.11009
4 99 588.414 7.48747 7.78971
4 100 607.652 6.57445 3.00241
4 101 576.951 6.58493 4.00243
4 102 597.553 8.16881 12.4136
4 103 589.947 6.91624 3.09585
4 104 620.042 6.77279 3.80545
4 105 610.209 86.0083 11.0925
4 106 584.755 10.1405 14.56
4 107 614.719 8.82342 18.2403
4 108 603.749 8.46489 40.0752
4 109 593.374 8.1337 19.0922
4 110 600.614 7.36903 1.68574
4 111 611.928 8.38431 13.2723
4 112 637.257 8.61855 3.09014
4 113 623.098 8.2365 5.05205
4 114 641.044 9.12437 17.5673
4 115 608.167 10.9184 7.68561
4 116 597.782 12.0764 5.9545
4 117 616.973 10.98 12.9826
4 118 630.355 11.5202 10.3622
4 119 636.863 10.4569 25.1449
4 120 636.914 8.20363 2.74592
4 121 630.851 8.89278 19.6041
4 122 632.812 7.66671 1.825
4 123 597.158 9.50397 13.3612
4 124 648.795 9.89165 14.3907
4 125 648.879 9.02192 5.48095
4 126 623.28 8.21761 8.95591
4 127 627.983 10.3697 9.54269
5 0 712.498 7.62826 5.13904
5 1 690.828 5.85288 4.06875
5 2 617.011 7.68261 3.15769
5 3 624.218 6.19269 2.97836
5 4 661.058 8.0283 4.07585
5 5 615.933 6.91144 4.78825
5 6 625.715 8.93021 2.36749
5 7 633.692 8.83604 13.084
5 8 598.319 9.78173 41.4742
5 9 579.432 8.65568 56.6392
5 10 641.562 9.18507 8.36902
5 11 615.697 8.49286 29.4834
5 12 676.986 8.61259 17.1222
5 13 641.228 7.94549 26.1907
5 14 626.443 7.92031 7.47599
5 15 624.616 7.32174 9.56843
5 16 601.263 8.39114 4.05397
5 17 604.398 9.04801 14.8465
