#Prestal File V0.0.1	2024-11-7_14-22-54_358243
#Generate by /mnt/d/jhs/tstData/20241107142157_baseline_entry.root
#fecid channelid mean sigma chi2/ndf
6 90 642.255 14.0325 78.7538
6 91 611.846 14.7909 76.8452
6 92 608.659 15.1431 77.8441
6 93 643.759 13.507 85.9905
6 94 645.049 12.5645 45.3454
6 95 604.496 16.1736 65.1396
6 96 605.864 12.3771 47.6447
6 97 616.12 12.776 133.747
6 98 590.632 12.1667 165.342
6 99 603.436 13.036 131.042
6 100 586.984 12.7597 143.805
6 101 596.954 12.4139 228.922
6 102 610.613 13.7637 312.695
6 103 591.86 13.1189 188.5
6 104 612.174 12.5314 90.6014
6 105 602.776 12.2713 131.957
6 106 605.283 12.0364 117.97
6 107 625.759 12.8004 202.873
6 108 594.486 13.598 628.964
6 109 594.478 12.4545 567.062
6 110 598.221 12.8497 225.692
6 111 605.254 12.8239 234.219
6 112 638.909 10.7534 164.086
6 113 628.153 11.712 173.264
6 114 631.739 11.9095 154.386
6 115 612.009 11.5 69.8097
6 116 597.157 12.7258 324.137
6 117 614.043 12.178 146.561
6 118 624.465 11.8274 610.261
6 119 633.3 12.2384 455.715
6 120 630.7 11.0878 87.2662
6 121 631.62 4.63138 261.357
6 122 645.302 10.1878 71.091
6 123 606.426 13.5781 149.823
6 124 650.389 12.4413 132.171
6 125 641.959 11.1874 93.2204
6 126 629.258 10.7821 45.7392
6 127 640.474 12.2261 108.159
